created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,geo,coordinates,user_id,user_screen_name,user_name,user_location,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-10-30 21:03:05,"Interview w/GA Governor Candidate Shane Hazel &amp; Director of Divide &amp; Dominate, Jake Green ,",[],[],[],1,0,,,,,11697982,hamcarless,Cam Harless,"Florida, USA",494,6805,6292,False,6695
2022-10-30 21:03:05,"Interview w/GA Governor Candidate Shane Hazel &amp; Director of Divide &amp; Dominate, Jake Green ,",[],[],[],0,0,,,,,3302914956,freedomactradio,Binkley,"Atlanta, GA",3322,3356,12978,False,11823
2022-10-30 21:03:04,"Interview w/GA Governor Candidate Shane Hazel &amp; Director of Divide &amp; Dominate, Jake Green ,",[],[],[],0,0,,,,,11697982,hamcarless,Cam Harless,"Florida, USA",494,6805,6292,False,6695
2022-10-30 21:03:04,"Interview w/GA Governor Candidate Shane Hazel &amp; Director of Divide &amp; Dominate, Jake Green ,",[],[],[],0,0,,,,,3302914956,freedomactradio,Binkley,"Atlanta, GA",3322,3356,12978,False,11823
2022-10-30 21:00:01,"Tonight is the second and final debate between Republican incumbent Brian Kemp and Democratic challenger Stacey Abrams in the Georgia governor's race. Here's how to watch. ,",[],[],[],0,0,,,,,22220447,AUG_Chronicle,Augusta Chronicle,"Augusta, Ga",8775,61091,316,False,91298
2022-10-30 21:00:01,"Tonight is the second and final debate between Republican incumbent Brian Kemp and Democratic challenger Stacey Abrams in the Georgia governor's race. Here's how to watch. ,",[],[],[],0,0,,,,,14935240,onlineathens,Athens Banner-Herald,"Athens, Ga.",1342,31834,352,True,79477
2022-10-30 21:00:01,"Tonight is the second and final debate between Republican incumbent Brian Kemp and Democratic challenger Stacey Abrams in the Georgia governor's race. Here's how to watch. ,",[],[],[],0,0,,,,,9164672,SavannahNow,Savannah Now,"Savannah, GA",901,55545,993,True,184434
2022-10-30 20:53:34,"The Democrat Party set the precedent for election denial in the 2000 Pres election, 2016 Pres election, 2016 GA Gov election, 2016 FL Gov election So it appears Pres Trump just took a 20 year-old play out of the Democrats playbook. ,",[],[148529707],['RBReich'],0,0,148529707,RBReich,,,1290820102506426370,NighthawkBegins,NightHawk,"Brentwood, TN",1127,856,1621,False,4849
2022-10-30 20:31:00,"$53 MILLION, 15 YR PHENOM, NOW 17, WITH GEORGIA GOVERNOR KEMP  CONTINUES 2 MAKE ME PROUD! ,",[],[],[],0,0,,,,,62666453,danspena,Dan Peña,"Guthrie Castle, Scotland, UK",1405,45887,78,False,505030
2022-10-30 20:30:13,"GA governor election, they were calling themselves the NFAAC or some such low-IQ bullshit. ""Not Fucking Around Anymore Coalition"" One of them shot his own dumb ass in the foot and fragged two others. Google that you should be able to find it.",[],"[1323745207075168256, 926164634570067968]","['JoyfulCricket', 'MuellerSheWrote']",0,0,1323745207075168256,JoyfulCricket,,,1520457054820970496,MrBlueSkyNW,Dr. L. Jenkins Esq. PhD | OBE,,315,204,895,False,2552
